source,relation,target
D_fb200e09,HAS_CAUSE,C_0e892209
D_fb200e09,HAS_CAUSE,C_b42b7d3f
D_fb200e09,HAS_CAUSE,C_01581233
D_fb200e09,HAS_CAUSE,C_62e41a94
D_fb200e09,HAS_CAUSE,C_e46cf9fd
D_fb200e09,HAS_CAUSE,C_03553d83
D_b386f88d,HAS_SYMPTOM,S_4d47f37f
D_b386f88d,HAS_SYMPTOM,S_fe2c0924
D_b386f88d,HAS_SYMPTOM,S_2a5206d2
D_b386f88d,HAS_SYMPTOM,S_2f15fbc1
D_b386f88d,HAS_SYMPTOM,S_7c012869
D_b386f88d,HAS_SYMPTOM,S_5113a766
D_b386f88d,HAS_SYMPTOM,S_efcf9002
D_b386f88d,HAS_SYMPTOM,S_224a3522
D_b386f88d,HAS_SYMPTOM,S_8c84441a
D_b386f88d,HAS_CAUSE,C_626bd8ee
D_b386f88d,HAS_CAUSE,C_24234d60
D_b386f88d,HAS_CAUSE,C_af88c2d5
D_b386f88d,HAS_CAUSE,C_2ffc6f51
D_b386f88d,HAS_CAUSE,C_7f5a7cb2
D_b386f88d,HAS_CAUSE,C_7947913d
D_b386f88d,HAS_CAUSE,C_9d9785b4
D_b386f88d,HAS_CAUSE,C_34cc482b
D_b386f88d,HAS_CAUSE,C_06d8b123
D_b386f88d,HAS_CAUSE,C_2fd4003a
D_b386f88d,HAS_CAUSE,C_a17e6a25
D_b386f88d,TREATED_BY,T_42b38afb
D_b386f88d,DIAGNOSED_BY,T_59cd9873
D_b386f88d,HAS_COMPLICATION,C_4dcd4217
D_04cc3cb8,HAS_CAUSE,C_b84befd9
D_04cc3cb8,HAS_CAUSE,C_256d3df1
D_04cc3cb8,HAS_CAUSE,C_979f6f68
D_04cc3cb8,TREATED_BY,T_38d79cbd
D_04cc3cb8,TREATED_BY,T_1755c5a9
D_04cc3cb8,DIAGNOSED_BY,T_89fca40e
D_04cc3cb8,PREVENTED_BY,P_2c17c5b1
D_04cc3cb8,PREVENTED_BY,P_4d00d81b
D_04cc3cb8,PREVENTED_BY,P_9b20da4a
D_06bcab0e,HAS_SYMPTOM,S_0605616a
D_06bcab0e,HAS_SYMPTOM,S_7eb653d1
D_06bcab0e,TREATED_BY,T_8868f60b
D_06bcab0e,TREATED_BY,T_2acbb38e
D_06bcab0e,TREATED_BY,T_84e6622f
D_06bcab0e,TREATED_BY,T_18144882
D_06bcab0e,TREATED_BY,T_133da86a
D_06bcab0e,TREATED_BY,T_909857f5
D_06bcab0e,TREATED_BY,T_b103706d
D_06bcab0e,TREATED_BY,T_710cc286
D_06bcab0e,TREATED_BY,T_316d5d71
D_06bcab0e,TREATED_BY,T_e1d138ad
D_06bcab0e,TREATED_BY,T_c93db42a
D_06bcab0e,TREATED_BY,T_407afe2f
